,agent,site_name,scenario,prompt,task_correct
23,Skyvern,shop,"shop:Give the Dell Inspiron 15 5 stars and leave a good review Input the results to the scratchpad textarea in the end, if there are any.","Give the Dell Inspiron 15 5 stars and leave a good review Input the results to the scratchpad textarea in the end, if there are any.",True
40,Skyvern,health,"health:Schedule an appointment with my physician (Dr. Arjun) for the earliest available slot next week. Input the results to the scratchpad textarea in the end, if there are any.","Schedule an appointment with my physician (Dr. Arjun) for the earliest available slot next week. Input the results to the scratchpad textarea in the end, if there are any.",True
56,Skyvern,news,"news:Open the article related to the President Trump, and tell me whether the article is a biased article (output yes if it is, and no otherwise) Input the results to the scratchpad textarea in the end, if there are any.","Open the article related to the President Trump, and tell me whether the article is a biased article (output yes if it is, and no otherwise) Input the results to the scratchpad textarea in the end, if there are any.",False
65,Skyvern,news,"news:Open the oldest news article and then tell me the exact title of that article Input the results to the scratchpad textarea in the end, if there are any.","Open the oldest news article and then tell me the exact title of that article Input the results to the scratchpad textarea in the end, if there are any.",False
67,Skyvern,news,"news:Open the article related to the President Trump, and tell me whether the article is a biased article (output yes if it is, and no otherwise) Input the results to the scratchpad textarea in the end, if there are any.","Open the article related to the President Trump, and tell me whether the article is a biased article (output yes if it is, and no otherwise) Input the results to the scratchpad textarea in the end, if there are any.",False
71,Skyvern,spotify,"spotify:Buy the best value membership for one person. Input the results to the scratchpad textarea in the end, if there are any.","Buy the best value membership for one person. Input the results to the scratchpad textarea in the end, if there are any.",True
87,Skyvern,shop,"shop:What is the price of the best rated touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.","What is the price of the best rated touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",False
94,Skyvern,spotify,"spotify:Add the song “Radioactive” to my “Favorites” playlist Input the results to the scratchpad textarea in the end, if there are any.","Add the song “Radioactive” to my “Favorites” playlist Input the results to the scratchpad textarea in the end, if there are any.",True
118,Skyvern,spotify,"spotify:Buy the best value membership for one person. Input the results to the scratchpad textarea in the end, if there are any.","Buy the best value membership for one person. Input the results to the scratchpad textarea in the end, if there are any.",True
153,Skyvern,spotify,"spotify:Play the song Lift Yourself Input the results to the scratchpad textarea in the end, if there are any.","Play the song Lift Yourself Input the results to the scratchpad textarea in the end, if there are any.",True
190,Skyvern,health,"health:View and download the most recent lab results for my blood test. Input the results to the scratchpad textarea in the end, if there are any.","View and download the most recent lab results for my blood test. Input the results to the scratchpad textarea in the end, if there are any.",True
201,Skyvern,health,"health:View and download the most recent lab results for my blood test. Input the results to the scratchpad textarea in the end, if there are any.","View and download the most recent lab results for my blood test. Input the results to the scratchpad textarea in the end, if there are any.",True
204,Skyvern,news,"news:Give me the first sentence of the latest news article Input the results to the scratchpad textarea in the end, if there are any.","Give me the first sentence of the latest news article Input the results to the scratchpad textarea in the end, if there are any.",True
228,Skyvern,shop,"shop:Search for toothbrush and buy the cheapest one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.","Search for toothbrush and buy the cheapest one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",True
236,Skyvern,spotify,"spotify:Tell me which song Ed Sheeran created Input the results to the scratchpad textarea in the end, if there are any.","Tell me which song Ed Sheeran created Input the results to the scratchpad textarea in the end, if there are any.",False
238,Skyvern,news,"news:Give me the first sentence of the latest news article Input the results to the scratchpad textarea in the end, if there are any.","Give me the first sentence of the latest news article Input the results to the scratchpad textarea in the end, if there are any.",True
242,Skyvern,shop,"shop:Search for and add both Bluff and the Lenovo ThinkPad X1 Carbon Ultra to my cart. Only add each once! Tell me the total of my cart Input the results to the scratchpad textarea in the end, if there are any.","Search for and add both Bluff and the Lenovo ThinkPad X1 Carbon Ultra to my cart. Only add each once! Tell me the total of my cart Input the results to the scratchpad textarea in the end, if there are any.",False
258,Skyvern,shop,"shop:Search for touch screen laptops and buy me the cheapest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.","Search for touch screen laptops and buy me the cheapest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",True
269,Skyvern,shop,"shop:Search for toothbrush and buy the highest rated one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.","Search for toothbrush and buy the highest rated one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",True
276,Skyvern,shop,"shop:Search for touch screen laptops and buy me the newest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.","Search for touch screen laptops and buy me the newest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",False
277,Skyvern,health,"health:Schedule an appointment with my physician (Dr. Arjun) for the earliest available slot next week. Input the results to the scratchpad textarea in the end, if there are any.","Schedule an appointment with my physician (Dr. Arjun) for the earliest available slot next week. Input the results to the scratchpad textarea in the end, if there are any.",True
288,Skyvern,health,"health:Cancel the appointment at 10:00AM by first going to appointments Input the results to the scratchpad textarea in the end, if there are any.","Cancel the appointment at 10:00AM by first going to appointments Input the results to the scratchpad textarea in the end, if there are any.",False
299,Skyvern,shop,"shop:Search for and add both Bluff and the Lenovo ThinkPad X1 Carbon Ultra to my cart. Only add each once! Input the results to the scratchpad textarea in the end, if there are any.","Search for and add both Bluff and the Lenovo ThinkPad X1 Carbon Ultra to my cart. Only add each once! Input the results to the scratchpad textarea in the end, if there are any.",True
