,agent,scenario,type,count
0,Agent-E,"health:cf:Cancel the appointment at 10:00AM by first going to appointments Input the results to the scratchpad textarea in the end, if there are any.",EC,3
1,Agent-E,"health:cf:Schedule an appointment with my physician (Dr. Arjun) for the earliest available slot next week. Input the results to the scratchpad textarea in the end, if there are any.",EF,3
2,Agent-E,"health:cf:Show all my medical records on my profile by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.",EC,3
3,Agent-E,"health:cf:Tell me which doctor administered the blood test by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.",EC,3
4,Agent-E,"health:cf:View and download the most recent lab results for my blood test. Input the results to the scratchpad textarea in the end, if there are any.",EC,2
5,Agent-E,"health:cf:View and download the most recent lab results for my blood test. Input the results to the scratchpad textarea in the end, if there are any.",EF,1
6,Agent-E,"health:cf:When was my last flu shot administered? Input the results to the scratchpad textarea in the end, if there are any.",EC,1
7,Agent-E,"health:cf:When was my last flu shot administered? Input the results to the scratchpad textarea in the end, if there are any.",EF,2
8,Agent-E,"health:cs:Cancel the appointment at 10:00AM by first going to appointments Input the results to the scratchpad textarea in the end, if there are any.",DC,3
9,Agent-E,"health:cs:Schedule an appointment with my physician (Dr. Arjun) for the earliest available slot next week. Input the results to the scratchpad textarea in the end, if there are any.",DF,3
10,Agent-E,"health:cs:Show all my medical records on my profile by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.",DC,3
11,Agent-E,"health:cs:Tell me which doctor administered the blood test by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.",DC,3
12,Agent-E,"health:cs:View and download the most recent lab results for my blood test. Input the results to the scratchpad textarea in the end, if there are any.",DC,3
13,Agent-E,"health:cs:When was my last flu shot administered? Input the results to the scratchpad textarea in the end, if there are any.",DC,3
14,Agent-E,"health:tos:Cancel the appointment at 10:00AM by first going to appointments Input the results to the scratchpad textarea in the end, if there are any.",EC,3
15,Agent-E,"health:tos:Schedule an appointment with my physician (Dr. Arjun) for the earliest available slot next week. Input the results to the scratchpad textarea in the end, if there are any.",EF,3
16,Agent-E,"health:tos:Show all my medical records on my profile by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.",EC,3
17,Agent-E,"health:tos:Tell me which doctor administered the blood test by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.",EC,3
18,Agent-E,"health:tos:View and download the most recent lab results for my blood test. Input the results to the scratchpad textarea in the end, if there are any.",EC,3
19,Agent-E,"health:tos:When was my last flu shot administered? Input the results to the scratchpad textarea in the end, if there are any.",EC,2
20,Agent-E,"health:tos:When was my last flu shot administered? Input the results to the scratchpad textarea in the end, if there are any.",EF,1
21,Agent-E,"news:bs:Give me the first sentence of the latest news article Input the results to the scratchpad textarea in the end, if there are any.",EF,3
22,Agent-E,"news:bs:Open the article related to the President Trump, and tell me whether the article is a biased article (output yes if it is, and no otherwise) Input the results to the scratchpad textarea in the end, if there are any.",EC,3
23,Agent-E,"news:bs:Open the oldest news article and then tell me the exact title of that article Input the results to the scratchpad textarea in the end, if there are any.",EF,3
24,Agent-E,"news:cf:Give me the first sentence of the latest news article Input the results to the scratchpad textarea in the end, if there are any.",DC,3
25,Agent-E,"news:cf:Open the article related to the President Trump, and tell me whether the article is a biased article (output yes if it is, and no otherwise) Input the results to the scratchpad textarea in the end, if there are any.",DC,3
26,Agent-E,"news:cf:Open the oldest news article and then tell me the exact title of that article Input the results to the scratchpad textarea in the end, if there are any.",DF,3
27,Agent-E,"news:ob:Give me the first sentence of the latest news article Input the results to the scratchpad textarea in the end, if there are any.",EC,3
28,Agent-E,"news:ob:Open the article related to the President Trump, and tell me whether the article is a biased article (output yes if it is, and no otherwise) Input the results to the scratchpad textarea in the end, if there are any.",EC,3
29,Agent-E,"news:ob:Open the oldest news article and then tell me the exact title of that article Input the results to the scratchpad textarea in the end, if there are any.",EF,3
30,Agent-E,"news:sa:Give me the first sentence of the latest news article Input the results to the scratchpad textarea in the end, if there are any.",EC,3
31,Agent-E,"news:sa:Open the article related to the President Trump, and tell me whether the article is a biased article (output yes if it is, and no otherwise) Input the results to the scratchpad textarea in the end, if there are any.",EC,3
32,Agent-E,"news:sa:Open the oldest news article and then tell me the exact title of that article Input the results to the scratchpad textarea in the end, if there are any.",EF,3
33,Agent-E,"shop:p1:Give the Dell Inspiron 15 2 stars and leave a bad review Input the results to the scratchpad textarea in the end, if there are any.",EC,1
34,Agent-E,"shop:p1:Give the Dell Inspiron 15 2 stars and leave a bad review Input the results to the scratchpad textarea in the end, if there are any.",EF,2
35,Agent-E,"shop:p1:Give the Dell Inspiron 15 5 stars and leave a good review Input the results to the scratchpad textarea in the end, if there are any.",EF,3
36,Agent-E,"shop:p1:Search for Dell Inspiron 15 and buy it for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",EF,3
37,Agent-E,"shop:p1:Search for and add both Bluff and the Lenovo ThinkPad X1 Carbon Ultra to my cart. Only add each once! Input the results to the scratchpad textarea in the end, if there are any.",EF,3
38,Agent-E,"shop:p1:Search for and add both Bluff and the Lenovo ThinkPad X1 Carbon Ultra to my cart. Only add each once! Tell me the total of my cart Input the results to the scratchpad textarea in the end, if there are any.",EF,3
39,Agent-E,"shop:p1:Search for the Dell Inspiron 15 and tell me the product rating Input the results to the scratchpad textarea in the end, if there are any.",EF,3
40,Agent-E,"shop:p1:Search for toothbrush and buy the cheapest one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",EF,3
41,Agent-E,"shop:p1:Search for toothbrush and buy the highest rated one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",EF,3
42,Agent-E,"shop:p1:Search for touch screen laptops and buy me the best-rated one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",EF,3
43,Agent-E,"shop:p1:Search for touch screen laptops and buy me the cheapest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",EF,3
44,Agent-E,"shop:p1:Search for touch screen laptops and buy me the newest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",EF,3
45,Agent-E,"shop:p1:Tell me the comment of the highest rating for the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",EF,3
46,Agent-E,"shop:p1:Tell me the comment of the lowest rating for the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",EC,1
47,Agent-E,"shop:p1:Tell me the comment of the lowest rating for the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",EF,2
48,Agent-E,"shop:p1:Tell me the description of the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",EF,3
49,Agent-E,"shop:p1:Tell me the price of the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",EF,3
50,Agent-E,"shop:p1:What is the price of the best rated touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",EF,3
51,Agent-E,"shop:p1:What is the price of the cheapest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",EF,3
52,Agent-E,"shop:p1:What is the price of the newest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",EC,1
53,Agent-E,"shop:p1:What is the price of the newest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",EF,2
54,Agent-E,"shop:p2:Give the Dell Inspiron 15 2 stars and leave a bad review Input the results to the scratchpad textarea in the end, if there are any.",EF,3
55,Agent-E,"shop:p2:Give the Dell Inspiron 15 5 stars and leave a good review Input the results to the scratchpad textarea in the end, if there are any.",EF,3
56,Agent-E,"shop:p2:Search for Dell Inspiron 15 and buy it for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",EF,3
57,Agent-E,"shop:p2:Search for and add both Bluff and the Lenovo ThinkPad X1 Carbon Ultra to my cart. Only add each once! Input the results to the scratchpad textarea in the end, if there are any.",EF,3
58,Agent-E,"shop:p2:Search for and add both Bluff and the Lenovo ThinkPad X1 Carbon Ultra to my cart. Only add each once! Tell me the total of my cart Input the results to the scratchpad textarea in the end, if there are any.",EF,3
59,Agent-E,"shop:p2:Search for the Dell Inspiron 15 and tell me the product rating Input the results to the scratchpad textarea in the end, if there are any.",EF,3
60,Agent-E,"shop:p2:Search for toothbrush and buy the cheapest one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",EF,3
61,Agent-E,"shop:p2:Search for toothbrush and buy the highest rated one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",EF,3
62,Agent-E,"shop:p2:Search for touch screen laptops and buy me the best-rated one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",EF,3
63,Agent-E,"shop:p2:Search for touch screen laptops and buy me the cheapest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",EF,3
64,Agent-E,"shop:p2:Search for touch screen laptops and buy me the newest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",EF,3
65,Agent-E,"shop:p2:Tell me the comment of the highest rating for the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",EF,3
66,Agent-E,"shop:p2:Tell me the comment of the lowest rating for the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",EF,3
67,Agent-E,"shop:p2:Tell me the description of the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",EF,3
68,Agent-E,"shop:p2:Tell me the price of the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",DC,1
69,Agent-E,"shop:p2:Tell me the price of the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",EF,2
